article.id,segment_n,PAR,log_value,dist,PAR_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
68,NA,1.40,NA,50,NA,NA,NA,dry,pasture,NA,15,NA,NA,NA,mol m-2 hr-1 in %
68,NA,4.00,NA,0,NA,NA,NA,dry,pasture,NA,15,NA,NA,NA,mol m-2 hr-1 in %
30,a,1308.27,NA,-25,NA,NA,NA,summer,field,NE,0.5,NA,SE,30.65,site1.micromol m-2 s-1
30,a,1258.68,NA,-20,NA,NA,NA,summer,field,NE,0.5,NA,SE,57.46,site1.micromol m-2 s-1
30,a,1090.35,NA,-15,NA,NA,NA,summer,field,NE,0.5,NA,SE,164.71,site1.micromol m-2 s-1
30,a,561.97,NA,-10,NA,NA,NA,summer,field,NE,0.5,NA,SE,250.89,site1.micromol m-2 s-1
30,a,280.65,NA,-5,NA,NA,NA,summer,field,NE,0.5,NA,SE,247.05,site1.micromol m-2 s-1
30,a,75.92,NA,0,NA,NA,NA,summer,field,NE,0.5,NA,SE,53.63,site1.micromol m-2 s-1
30,a,120.18,NA,5,NA,NA,NA,summer,field,NE,0.5,NA,SE,130.23,site1.micromol m-2 s-1
30,a,105.06,NA,10,NA,NA,NA,summer,field,NE,0.5,NA,SE,90.01,site1.micromol m-2 s-1
30,a,112.93,NA,15,NA,NA,NA,summer,field,NE,0.5,NA,SE,107.25,site1.micromol m-2 s-1
30,a,107.39,NA,20,NA,NA,NA,summer,field,NE,0.5,NA,SE,107.25,site1.micromol m-2 s-1
30,a,80.78,NA,25,NA,NA,NA,summer,field,NE,0.5,NA,SE,42.14,site1.micromol m-2 s-1
30,a,48.43,NA,30,NA,NA,NA,summer,field,NE,0.5,NA,SE,36.39,site1.micromol m-2 s-1
30,a,60.12,NA,35,NA,NA,NA,summer,field,NE,0.5,NA,SE,47.88,site1.micromol m-2 s-1
30,b,1310.19,NA,-25,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,28.73,site2.micromol m-2 s-1
30,b,1256.77,NA,-20,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,59.37,site2.micromol m-2 s-1
30,b,1090.35,NA,-15,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,164.71,site2.micromol m-2 s-1
30,b,1253.35,NA,-10,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,38.30,site2.micromol m-2 s-1
30,b,998.84,NA,-5,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,214.50,site2.micromol m-2 s-1
30,b,74.01,NA,0,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,55.54,site2.micromol m-2 s-1
30,b,125.92,NA,5,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,135.98,site2.micromol m-2 s-1
30,b,83.99,NA,10,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,107.25,site2.micromol m-2 s-1
30,b,93.78,NA,15,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,88.09,site2.micromol m-2 s-1
30,b,17.37,NA,20,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,201.09,site2.micromol m-2 s-1
30,b,13.75,NA,25,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,111.08,site2.micromol m-2 s-1
30,b,12.04,NA,30,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,72.77,site2.micromol m-2 s-1
30,b,62.04,NA,35,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,45.96,site2.micromol m-2 s-1
55,a,NA,57.75,0,NA,NA,NA,dry,powerline,NA,15,NA,SE,51.45,micromol m-2 s-1
55,a,NA,6.31,2,NA,NA,NA,dry,powerline,NA,15,NA,SE,1.41,micromol m-2 s-1
55,a,NA,19.73,4,NA,NA,NA,dry,powerline,NA,15,NA,SE,7.85,micromol m-2 s-1
55,a,NA,5.89,8,NA,NA,NA,dry,powerline,NA,15,NA,SE,1.31,micromol m-2 s-1
55,a,NA,5.88,12,NA,NA,NA,dry,powerline,NA,15,NA,SE,1.31,micromol m-2 s-1
55,a,NA,4.49,16,NA,NA,NA,dry,powerline,NA,15,NA,SE,1.00,micromol m-2 s-1
55,a,NA,4.49,20,NA,NA,NA,dry,powerline,NA,15,NA,SE,0.64,micromol m-2 s-1
55,a,NA,4.19,25,NA,NA,NA,dry,powerline,NA,15,NA,SE,0.60,micromol m-2 s-1
55,a,NA,4.32,30,NA,NA,NA,dry,powerline,NA,15,NA,SE,1.15,micromol m-2 s-1
55,a,NA,9.29,50,NA,NA,NA,dry,powerline,NA,15,NA,SE,2.85,micromol m-2 s-1
55,a,NA,5.71,100,NA,NA,NA,dry,powerline,NA,15,NA,SE,2.28,micromol m-2 s-1
55,1,NA,12.59,0,NA,NA,NA,wet,powerline,NA,15,NA,SE,3.65,micromol m-2 s-1
55,1,NA,4.35,2,NA,NA,NA,wet,powerline,NA,15,NA,SE,3.21,micromol m-2 s-1
55,1,NA,10.17,4,NA,NA,NA,wet,powerline,NA,15,NA,SE,7.12,micromol m-2 s-1
55,1,NA,8.75,8,NA,NA,NA,wet,powerline,NA,15,NA,SE,3.81,micromol m-2 s-1
55,1,NA,3.09,12,NA,NA,NA,wet,powerline,NA,15,NA,SE,0.27,micromol m-2 s-1
55,1,NA,5.14,16,NA,NA,NA,wet,powerline,NA,15,NA,SE,0.95,micromol m-2 s-1
55,1,NA,4.52,20,NA,NA,NA,wet,powerline,NA,15,NA,SE,0.50,micromol m-2 s-1
55,1,NA,11.72,25,NA,NA,NA,wet,powerline,NA,15,NA,SE,3.72,micromol m-2 s-1
55,1,NA,7.03,30,NA,NA,NA,wet,powerline,NA,15,NA,SE,2.64,micromol m-2 s-1
55,1,NA,7.94,50,NA,NA,NA,wet,powerline,NA,15,NA,SE,4.19,micromol m-2 s-1
55,1,NA,6.32,100,NA,NA,NA,wet,powerline,NA,15,NA,SE,1.83,micromol m-2 s-1
55,b,NA,80.87,0,NA,NA,NA,wet,highway,NA,15,NA,SE,43.30,micromol m-2 s-1
55,b,NA,10.39,2,NA,NA,NA,wet,highway,NA,15,NA,SE,2.10,micromol m-2 s-1
55,b,NA,11.74,4,NA,NA,NA,wet,highway,NA,15,NA,SE,1.94,micromol m-2 s-1
55,b,NA,9.77,8,NA,NA,NA,wet,highway,NA,15,NA,SE,3.10,micromol m-2 s-1
55,b,NA,11.04,12,NA,NA,NA,wet,highway,NA,15,NA,SE,1.83,micromol m-2 s-1
55,b,NA,5.80,16,NA,NA,NA,wet,highway,NA,15,NA,SE,1.17,micromol m-2 s-1
55,b,NA,6.98,20,NA,NA,NA,wet,highway,NA,15,NA,SE,1.41,micromol m-2 s-1
55,b,NA,6.98,25,NA,NA,NA,wet,highway,NA,15,NA,SE,1.67,micromol m-2 s-1
55,b,NA,4.83,30,NA,NA,NA,wet,highway,NA,15,NA,SE,1.34,micromol m-2 s-1
55,b,NA,10.71,50,NA,NA,NA,wet,highway,NA,15,NA,SE,3.40,micromol m-2 s-1
55,b,NA,11.04,100,NA,NA,NA,wet,highway,NA,15,NA,SE,6.98,micromol m-2 s-1
55,2,NA,25.51,0,NA,NA,NA,dry,highway,NA,15,NA,SE,7.42,micromol m-2 s-1
55,2,NA,14.18,2,NA,NA,NA,dry,highway,NA,15,NA,SE,10.68,micromol m-2 s-1
55,2,NA,9.43,4,NA,NA,NA,dry,highway,NA,15,NA,SE,4.05,micromol m-2 s-1
55,2,NA,4.73,8,NA,NA,NA,dry,highway,NA,15,NA,SE,0.78,micromol m-2 s-1
55,2,NA,8.30,12,NA,NA,NA,dry,highway,NA,15,NA,SE,2.64,micromol m-2 s-1
55,2,NA,4.50,16,NA,NA,NA,dry,highway,NA,15,NA,SE,1.35,micromol m-2 s-1
55,2,NA,5.11,20,NA,NA,NA,dry,highway,NA,15,NA,SE,1.80,micromol m-2 s-1
55,2,NA,6.94,25,NA,NA,NA,dry,highway,NA,15,NA,SE,1.57,micromol m-2 s-1
55,2,NA,4.98,30,NA,NA,NA,dry,highway,NA,15,NA,SE,0.97,micromol m-2 s-1
55,2,NA,4.61,50,NA,NA,NA,dry,highway,NA,15,NA,SE,0.90,micromol m-2 s-1
55,2,NA,6.11,100,NA,NA,NA,dry,highway,NA,15,NA,SE,1.38,micromol m-2 s-1
