article.id,segment_n,soil_moist,dist,moist_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
25,NA,20.19,0,NA,NA,NA,NA,grassland,NA,NA,NA,V,74.80,
25,NA,19.92,30,NA,NA,NA,NA,grassland,NA,NA,NA,V,16.13,
25,NA,18.89,60,NA,NA,NA,NA,grassland,NA,NA,NA,V,28.89,
25,NA,18.43,90,NA,NA,NA,NA,grassland,NA,NA,NA,V,10.57,
25,NA,20.01,120,NA,NA,NA,NA,grassland,NA,NA,NA,V,8.22,
25,NA,19.43,150,NA,NA,NA,NA,grassland,NA,NA,NA,V,2.34,
32,NA,13.84,-10,NA,NA,NA,summer,conifer.clearcut,NA,15,hourly,SE,0.37,
32,NA,17.33,10,NA,NA,NA,summer,conifer.clearcut,NA,15,hourly,SE,0.48,marked.only.as.edge
32,NA,15.81,250,NA,NA,NA,summer,conifer.clearcut,NA,15,hourly,SE,0.25,
29,a,42.06,-5,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,46.92,0,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,46.92,5,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,43.78,10,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,44.81,20,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,40.25,40,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,32.22,60,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,32.19,80,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,50.25,100,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,53.30,150,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,a,58.09,200,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,1,32.32,-5,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,29.88,0,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,36.48,5,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,33.34,10,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,31.24,20,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,33.99,40,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,21.79,60,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,20.71,80,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,38.07,100,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,41.47,150,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,1,46.96,200,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,b,37.71,-5,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,37.70,0,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,44.68,5,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,37.68,10,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,36.97,20,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,29.25,40,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,38.30,60,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,41.06,80,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,39.98,100,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,45.14,150,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,b,47.86,200,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,2,27.92,-5,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,27.22,0,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,32.45,5,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,26.85,10,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,26.49,20,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,17.72,40,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,29.92,60,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,30.58,80,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,26.01,100,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,32.57,150,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,2,34.93,200,NA,NA,NA,dry,pasture,NW,4,daily,NA,NA,
29,c,12.74,-5,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
29,c,76.17,5,NA,NA,NA,wet,pasture,NW,4,daily,NA,NA,
