article.id,segment_n,soil_temp,dist,temp_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_CI_V_n,notes
25,NA,23.67,0,NA,NA,NA,NA,grassland,NA,NA,NA,V,1.85,
25,NA,22.5,30,NA,NA,NA,NA,grassland,NA,NA,NA,V,0.82,
25,NA,22.47,60,NA,NA,NA,NA,grassland,NA,NA,NA,V,0.93,
25,NA,22.87,90,NA,NA,NA,NA,grassland,NA,NA,NA,V,1.28,
25,NA,21.52,120,NA,NA,NA,NA,grassland,NA,NA,NA,V,0.26,
25,NA,21.4,150,NA,NA,NA,NA,grassland,NA,NA,NA,V,0.02,
24,NA,49.13,-10,NA,NA,NA,dry,pasture,S,NA,NA,SD,1.69,
24,NA,34.36,0,NA,NA,NA,dry,pasture,S,NA,NA,SD,3.91,
24,NA,33.62,10,NA,NA,NA,dry,pasture,S,NA,NA,SD,3.17,
24,NA,36.41,25,NA,NA,NA,dry,pasture,S,NA,NA,SD,3.78,
24,NA,35.83,40,NA,NA,NA,dry,pasture,S,NA,NA,SD,6.19,
24,NA,35.09,55,NA,NA,NA,dry,pasture,S,NA,NA,SD,3.09,
24,NA,33.49,70,NA,NA,NA,dry,pasture,S,NA,NA,SD,1,
24,NA,38.12,85,NA,NA,NA,dry,pasture,S,NA,NA,SD,3.54,
32,NA,18.34,-10,NA,NA,NA,summer,conifer.clearcut,NA,15,hourly,SE,0.46,
32,NA,17.08,10,NA,NA,NA,summer,conifer.clearcut,NA,15,hourly,SE,0.43,marked.only.as.edge
32,NA,13.93,250,NA,NA,NA,summer,conifer.clearcut,NA,15,hourly,SE,0.23,
68,a,24.56,50,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.26,
68,a,24.47,45,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.3,
68,a,24.43,40,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.3,
68,a,24.35,35,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.3,
68,a,24.48,30,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.26,
68,a,24.53,25,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.17,
68,a,24.27,20,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.26,
68,a,24.49,15,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.13,
68,a,24.37,10,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.43,
68,a,24.63,5,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.22,
68,a,24.85,0,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.22,
68,a,25.54,-5,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.39,
68,a,26.07,-10,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.65,
68,a,26.24,-15,NA,NA,NA,dry,pasture,NA,4,NA,SE,0,
68,a,25.64,-20,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.22,
68,b,24.69,50,NA,NA,NA,dry,pasture,NA,15,NA,SE,0.17,
