"","article.id","segment_n","just.dist","season","matrix_type","edge_orient","edge_age_years","AT_var","AT_var_n","varpercent.at","PAR_var","PAR_var_n","varpercent.par","RH_var","RH_var_n","varpercent.rh","SM_var","SM_var_n","varpercent.sm","ST_var","ST_var_n","varpercent.st","VPD_var","VPD_var_n","varpercent.vpd","WS_var","WS_var_n","varpercent.ws","idseg"
"1","1",NA,0,"dry","pasture",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 NA"
"2","1",NA,500,"dry","pasture",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 NA"
"3","7","a",-10,"spring","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 a"
"4","7","a",60,"spring","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 a"
"5","7","b",-10,"summer","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 b"
"6","7","b",60,"summer","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 b"
"7","7","c",-10,"fall","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 c"
"8","7","c",60,"fall","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 c"
"9","7","d",-10,"winter","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 d"
"10","7","d",60,"winter","grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 d"
"11","8","a",5,NA,"pine.plantation","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 a"
"12","8","a",50,NA,"pine.plantation","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 a"
"13","8","a",100,NA,"pine.plantation","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 a"
"14","8","b",5,NA,"shrubland","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 b"
"15","8","b",50,NA,"shrubland","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 b"
"16","8","b",100,NA,"shrubland","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 b"
"17","8","c",5,NA,"shrubland","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 c"
"18","8","c",50,NA,"shrubland","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 c"
"19","8","c",100,NA,"shrubland","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 c"
"20","8","d",5,NA,"oak.forest","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 d"
"21","8","d",50,NA,"oak.forest","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 d"
"22","8","d",100,NA,"oak.forest","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 d"
"23","10",NA,0,"spring",NA,NA,NA,"SD",2.8,-3,"SD",214,595,"SD",7.8,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NA"
"24","10",NA,120,"spring",NA,NA,NA,"SD",2.9,0,"SD",30.8,0,"SD",8.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NA"
"25","12","a",-10,"dry","ag.field",NA,NA,"SE",0.37,6,NA,NA,NA,"SE",3.12,120,NA,NA,NA,"SE",0.46,0,NA,NA,NA,NA,NA,NA,"12 a"
"26","12","a",0,"dry","ag.field",NA,NA,"SE",0.38,9,NA,NA,NA,"SE",3.56,151,NA,NA,NA,"SE",0.45,-2,NA,NA,NA,NA,NA,NA,"12 a"
"27","12","a",30,"dry","ag.field",NA,NA,"SE",0.35,0,NA,NA,NA,"SE",1.42,0,NA,NA,NA,"SE",0.46,0,NA,NA,NA,NA,NA,NA,"12 a"
"28","12","b",-10,"dry","ag.field",NA,NA,"SE",0.44,110,NA,NA,NA,"SE",2.05,-49,NA,NA,NA,"SE",0.53,-7,NA,NA,NA,NA,NA,NA,"12 b"
