"distance","AT"
-10,15.9182348599647
0,6.71192701174402
10,2.06376077211261
20,0.988858572895552
30,0.542606882239592
40,0.464222848231122
50,0.351462870778571
60,0.27967947684386
70,0.235805951425835
80,0.169662451374169
90,0.10525785000665
100,0.0500572092840174
110,0.00370548849560268
120,-0.0341523530692623
130,-0.0638713561212458
140,-0.0858065613710159
150,-0.100313009529241
160,-0.107745741306589
170,-0.108459797413728
180,-0.102810218561326
190,-0.0911520454600517
200,-0.073840318820573
