"article.id","segment_n","just.dist","idseg","stat_sig","percent_diff","season","matrix_type","edge_orient","edge_age_years","SD_SE_CI_V","SD_SE_CI_V_n","full_diff","PAR_var","PAR_var_n","percentPAR_diff","RH_var","RH_var_n","percentrh_diff","SM_var","SM_var_n","percentsm_diff","ST_var","ST_var_n","percentst_diff","VPD_var","VPD_var_n","percentVPD_diff","WS_var","WS_var_n","percentws_diff"
"1",NA,0,"1 NA",NA,NA,"dry","pasture",NA,18,NA,NA,2.4,NA,NA,NA,NA,NA,-15,NA,NA,-40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",NA,500,"1 NA",NA,NA,"dry","pasture",NA,18,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","a",-10,"7 a","Y",20,"spring","grass",NA,NA,NA,NA,4.54,NA,NA,NA,NA,NA,-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","a",60,"7 a","Y",0,"spring","grass",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","b",-10,"7 b","Y",19,"summer","grass",NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","b",60,"7 b","Y",0,"summer","grass",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","c",-10,"7 c","Y",19,"fall","grass",NA,NA,NA,NA,4.49,NA,NA,NA,NA,NA,-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","c",60,"7 c","Y",0,"fall","grass",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","d",-10,"7 d","Y",35,"winter","grass",NA,NA,NA,NA,4.98,NA,NA,NA,NA,NA,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","d",60,"7 d","Y",0,"winter","grass",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","a",5,"8 a",NA,-2,NA,"pine.plantation","S",NA,NA,NA,-0.12,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","a",50,"8 a",NA,1,NA,"pine.plantation","S",NA,NA,NA,0.0599999999999996,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","a",100,"8 a",NA,0,NA,"pine.plantation","S",NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","b",5,"8 b",NA,-1,NA,"shrubland","N",NA,NA,NA,-0.0499999999999998,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","b",50,"8 b",NA,0,NA,"shrubland","N",NA,NA,NA,-0.0199999999999996,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","b",100,"8 b",NA,0,NA,"shrubland","N",NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","c",5,"8 c",NA,-1,NA,"shrubland","S",NA,NA,NA,-0.0700000000000003,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","c",50,"8 c",NA,-2,NA,"shrubland","S",NA,NA,NA,-0.159999999999999,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","c",100,"8 c",NA,0,NA,"shrubland","S",NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
