"","article.id","segment_n","just.dist","edge_age_years","season.f","matrix_type.f","edge_orient.f","percentrh_diff","percentsm_diff","percent_diff","percentPAR_diff","percentst_diff","percentVPD_diff","percentws_diff"
"1",1,NA,0,18,1,11,NA,-0.139292023574942,-0.329679953964361,NA,NA,NA,NA,NA
"2",1,NA,500,18,1,11,NA,0,0,NA,NA,NA,NA,NA
"3",7,"a",-10,NA,3,6,NA,-0.221199216928595,NA,0.2,NA,NA,NA,NA
"4",7,"a",60,NA,3,6,NA,0,NA,0,NA,NA,NA,NA
"5",7,"b",-10,NA,4,6,NA,-0.213372138933447,NA,0.19,NA,NA,NA,NA
"6",7,"b",60,NA,4,6,NA,0,NA,0,NA,NA,NA,NA
"7",7,"c",-10,NA,2,6,NA,-0.189415754029813,NA,0.19,NA,NA,NA,NA
"8",7,"c",60,NA,2,6,NA,0,NA,0,NA,NA,NA,NA
"9",7,"d",-10,NA,7,6,NA,-0.236620505663147,NA,0.35,NA,NA,NA,NA
"10",7,"d",60,NA,7,6,NA,0,NA,0,NA,NA,NA,NA
"11",8,"a",5,NA,NA,12,6,0,NA,-0.02,NA,NA,NA,NA
"12",8,"a",50,NA,NA,12,6,-0.00995016625083195,NA,0.01,NA,NA,NA,NA
"13",8,"a",100,NA,NA,12,6,0,NA,0,NA,NA,NA,NA
"14",8,"b",5,NA,NA,18,2,0.0100501670841681,NA,-0.01,NA,NA,NA,NA
"15",8,"b",50,NA,NA,18,2,0.0202013400267558,NA,0,NA,NA,NA,NA
"16",8,"b",100,NA,NA,18,2,0,NA,0,NA,NA,NA,NA
"17",8,"c",5,NA,NA,18,6,-0.0295544664514918,NA,-0.01,NA,NA,NA,NA
"18",8,"c",50,NA,NA,18,6,-0.00995016625083195,NA,-0.02,NA,NA,NA,NA
"19",8,"c",100,NA,NA,18,6,0,NA,0,NA,NA,NA,NA
"20",8,"d",5,NA,NA,10,6,-0.0198013266932447,NA,0.01,NA,NA,NA,NA
"21",8,"d",50,NA,NA,10,6,-0.0295544664514918,NA,0.02,NA,NA,NA,NA
"22",8,"d",100,NA,NA,10,6,0,NA,0,NA,NA,NA,NA
"23",10,NA,0,NA,3,NA,NA,-0.00995016625083195,NA,0,2.74,NA,NA,NA
"24",10,NA,120,NA,3,NA,NA,0,NA,0,0,NA,NA,NA
"25",12,"a",-10,NA,1,1,NA,-0.197481202037522,NA,0.13,NA,0.13,NA,NA
"26",12,"a",0,NA,1,1,NA,-0.048770575499286,NA,0.05,NA,0.04,NA,NA
"27",12,"a",30,NA,1,1,NA,0,NA,0,NA,0,NA,NA
"28",12,"b",-10,NA,1,1,NA,-0.221199216928595,NA,0.11,NA,0.12,NA,NA
"29",12,"b",0,NA,1,1,NA,-0.121904569079439,NA,0.04,NA,0.05,NA,NA
"30",12,"b",30,NA,1,1,NA,0,NA,0,NA,0,NA,NA
"31",12,"c",-10,NA,1,1,NA,-0.228948414196434,NA,0.12,NA,0.15,NA,NA
"32",12,"c",0,NA,1,1,NA,-0.0768836536133642,NA,0.03,NA,0.02,NA,NA
"33",12,"c",30,NA,1,1,NA,0,NA,0,NA,0,NA,NA
"34",13,NA,0,NA,6,16,NA,-0.0392105608476768,NA,0.06,NA,NA,NA,0.6
"35",13,NA,10,NA,6,16,NA,0.0100501670841681,NA,0.02,NA,NA,NA,0.02
"36",13,NA,20,NA,6,16,NA,-0.00995016625083195,NA,0.01,NA,NA,NA,0
"37",13,NA,30,NA,6,16,NA,0,NA,0,NA,NA,NA,-0.17
"38",13,NA,40,NA,6,16,NA,0,NA,0,NA,NA,NA,0.09
"39",13,NA,50,NA,6,16,NA,0,NA,0,NA,NA,NA,0
"40",14,NA,0,NA,1,11,NA,-0.113079563282842,NA,0.04,NA,0.02,NA,NA
"41",14,NA,40,NA,1,11,NA,-0.0860688147287718,NA,0.04,NA,0,NA,NA
"42",14,NA,80,NA,1,11,NA,-0.048770575499286,NA,0,NA,0,NA,NA
"43",14,NA,120,NA,1,11,NA,-0.00995016625083195,NA,0,NA,0,NA,NA
"44",14,NA,160,NA,1,11,NA,0,NA,0,NA,0,NA,NA
"45",15,"a",-10,5,4,5,6,NA,NA,0.19,NA,NA,0.12,NA
"46",15,"a",0,5,4,5,6,NA,NA,0.33,NA,NA,0.14,NA
"47",15,"a",5,5,4,5,6,NA,NA,0.18,NA,NA,0.1,NA
"48",15,"a",10,5,4,5,6,NA,NA,0.11,NA,NA,0.09,NA
"49",15,"a",20,5,4,5,6,NA,NA,0.05,NA,NA,0.07,NA
"50",15,"a",30,5,4,5,6,NA,NA,0.02,NA,NA,0.04,NA
"51",15,"a",40,5,4,5,6,NA,NA,0,NA,NA,0.03,NA
"52",15,"a",50,5,4,5,6,NA,NA,0,NA,NA,0,NA
"53",15,"b",-10,5,4,5,2,NA,NA,0.43,NA,NA,0.29,NA
"54",15,"b",0,5,4,5,2,NA,NA,-0.04,NA,NA,0.11,NA
"55",15,"b",5,5,4,5,2,NA,NA,0.09,NA,NA,0.11,NA
"56",15,"b",10,5,4,5,2,NA,NA,0,NA,NA,0.07,NA
"57",15,"b",20,5,4,5,2,NA,NA,-0.03,NA,NA,0.06,NA
"58",15,"b",30,5,4,5,2,NA,NA,-0.03,NA,NA,0.04,NA
"59",15,"b",40,5,4,5,2,NA,NA,-0.03,NA,NA,0,NA
"60",15,"b",50,5,4,5,2,NA,NA,0,NA,NA,0,NA
"61",15,"c",-10,NA,4,5,6,NA,NA,0.2,NA,NA,0.07,NA
"62",15,"c",0,NA,4,5,6,NA,NA,-0.02,NA,NA,0.03,NA
"63",15,"c",5,NA,4,5,6,NA,NA,-0.03,NA,NA,0.03,NA
"64",15,"c",10,NA,4,5,6,NA,NA,-0.02,NA,NA,0.02,NA
"65",15,"c",20,NA,4,5,6,NA,NA,-0.01,NA,NA,0,NA
"66",15,"c",30,NA,4,5,6,NA,NA,-0.02,NA,NA,0.03,NA
"67",15,"c",40,NA,4,5,6,NA,NA,-0.02,NA,NA,0.01,NA
"68",15,"c",50,NA,4,5,6,NA,NA,0,NA,NA,0,NA
"69",15,"d",-10,NA,4,21,2,NA,NA,0.22,NA,NA,0.25,NA
"70",15,"d",0,NA,4,21,2,NA,NA,0.02,NA,NA,0.05,NA
"71",15,"d",5,NA,4,21,2,NA,NA,0.03,NA,NA,0.03,NA
"72",15,"d",10,NA,4,21,2,NA,NA,0.01,NA,NA,0.01,NA
"73",15,"d",20,NA,4,21,2,NA,NA,0.01,NA,NA,0,NA
"74",15,"d",30,NA,4,21,2,NA,NA,0,NA,NA,0,NA
"75",15,"d",40,NA,4,21,2,NA,NA,0.01,NA,NA,0.01,NA
"76",15,"d",50,NA,4,21,2,NA,NA,0,NA,NA,0,NA
"77",19,"a",-10,19,4,NA,NA,NA,NA,-0.02,NA,NA,NA,NA
"78",19,"a",-5,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"79",19,"a",0,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"80",19,"a",5,19,4,NA,NA,NA,NA,-0.02,NA,NA,NA,NA
"81",19,"a",10,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"82",19,"a",20,19,4,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
"83",19,"a",30,19,4,NA,NA,NA,NA,0,NA,NA,NA,NA
"84",19,"b",-10,4,4,NA,NA,NA,NA,0.07,NA,NA,NA,NA
