article.id,segment_n,rel_humid,dist,humid_diff,stat_sig,percent_diff,season,matrix_type,edge_orient,edge_age_years,finer_scale,SD_SE_CI_V,SD_SE_CI_V_n,notes
24,NA,24.25,-10,NA,NA,NA,dry,pasture,S,NA,NA,SD,2.6,
24,NA,23.42,0,NA,NA,NA,dry,pasture,S,NA,NA,SD,2.38,
24,NA,23.42,10,NA,NA,NA,dry,pasture,S,NA,NA,SD,2.47,
24,NA,23.92,25,NA,NA,NA,dry,pasture,S,NA,NA,SD,1.4,
24,NA,24.08,40,NA,NA,NA,dry,pasture,S,NA,NA,SD,1.85,
24,NA,23.75,55,NA,NA,NA,dry,pasture,S,NA,NA,SD,2.15,
24,NA,24.5,70,NA,NA,NA,dry,pasture,S,NA,NA,SD,2.53,
24,NA,25.33,85,NA,NA,NA,dry,pasture,S,NA,NA,SD,1.78,
7,a,81.47,60,NA,Y,NA,spring,grass,NA,NA,NA,NA,NA,
7,a,61.03,-10,NA,Y,NA,spring,grass,NA,NA,NA,NA,NA,formerly -20
7,b,85.19,60,NA,Y,NA,summer,grass,NA,NA,NA,NA,NA,
7,b,65.13,-10,NA,Y,NA,summer,grass,NA,NA,NA,NA,NA,formerly -20
7,c,80.99,60,NA,Y,NA,fall,grass,NA,NA,NA,NA,NA,
7,c,63.87,-10,NA,Y,NA,fall,grass,NA,NA,NA,NA,NA,formerly -20
7,d,85.75,60,NA,Y,NA,winter,grass,NA,NA,NA,NA,NA,
7,d,62.74,-10,NA,Y,NA,winter,grass,NA,NA,NA,NA,NA,formerly -20
53,a,61.9,-30,NA,Y,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.4,eucalypt.barrier
53,a,60.8,-20,NA,Y,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.55,eucalypt.barrier
53,a,60.9,-10,NA,Y,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.5,eucalypt.barrier
53,a,61,0,NA,Y,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.4,eucalypt.barrier
53,a,61.8,10,NA,Y,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.3,eucalypt.barrier
53,a,62.3,20,NA,N,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.2,eucalypt.barrier
53,a,63.9,30,NA,N,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.1,eucalypt.barrier
53,b,61.1,-30,NA,N,NA,NA,eucalyptus.farm,NE,NA,NA,CI,3.9,no.barrier
53,b,59.3,-20,NA,N,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4,no.barrier
53,b,58.6,-10,NA,Y,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.2,no.barrier
53,b,58.4,0,NA,Y,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.3,no.barrier
53,b,59.2,10,NA,N,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4.15,no.barrier
53,b,59.9,20,NA,N,NA,NA,eucalyptus.farm,NE,NA,NA,CI,4,no.barrier
53,b,61.3,30,NA,N,NA,NA,eucalyptus.farm,NE,NA,NA,CI,3.95,no.barrier
32,NA,70.9,-10,NA,N,NA,summer,conifer.clearcut,NA,15,hourly,SE,3.41,
32,NA,75.99,10,NA,N,NA,summer,conifer.clearcut,NA,15,hourly,SE,2.88,marked.only.as.edge
32,NA,79.38,250,NA,N,NA,summer,conifer.clearcut,NA,15,hourly,SE,2.63,
66,a,57.1,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T1.unburned
66,a,59.6,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T1.unburned
66,a,62.6,23,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,T1.unburned
66,a,63.3,45,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T1.unburned
66,b,57.9,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T8.unburned
66,b,58.4,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T8.unburned
66,b,62.9,22,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T8.unburned
66,b,63.2,45,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,T8.unburned
66,c,28.8,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T4.unburned
66,c,28.6,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T4.unburned
66,c,26.9,23,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T4.unburned
66,c,26.8,45,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,T4.unburned
66,d,58.5,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.4,T7.unburned
66,d,57.3,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T7.unburned
66,d,59.8,32,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T7.unburned
66,d,60.5,64,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T7.unburned
66,e,57.9,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T5.unburned
66,e,59.2,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T5.unburned
66,e,64.6,44,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T5.unburned
66,e,64.9,88,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T5.unburned
66,f,56.3,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T6.unburned
66,f,59.4,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T6.unburned
66,f,61.1,31,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T6.unburned
66,f,63.1,61,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,T6.unburned
66,g,58.3,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,54.burned
66,g,60.8,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,54.burned
66,g,62.9,26,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,54.burned
66,g,62.3,51,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,54.burned
66,h,59.5,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C2.burned
66,h,59.9,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C2.burned
66,h,60.5,32,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C2.burned
66,h,63.9,64,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C2.burned
66,i,57.4,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C4.burned
66,i,57.4,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C4.burned
66,i,63.8,36,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,C4.burned
66,i,62.3,71,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,C4.burned
66,j,59,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C3.burned
66,j,58.8,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C3.burned
66,j,60.1,22,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C3.burned
66,j,60.9,43,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C3.burned
66,k,58.5,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C1.burned
66,k,60.6,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C1.burned
66,k,63.6,34,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,C1.burned
66,k,75.9,67,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C1.burned
66,l,60.6,-10,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C5.burned
66,l,61,0,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C5.burned
66,l,63.1,20,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.2,C5.burned
66,l,61.7,40,NA,NA,NA,NA,prairie,NA,NA,monthly,SD,0.3,C5.burned
68,1,86.66,50,NA,NA,NA,dry,pasture,NA,15,NA,SE,0.52,
68,1,89.56,45,NA,NA,NA,dry,pasture,NA,15,NA,SE,0,
68,1,89.16,40,NA,NA,NA,dry,pasture,NA,15,NA,SE,0,
68,1,88.44,35,NA,NA,NA,dry,pasture,NA,15,NA,SE,0,
68,1,87.31,30,NA,NA,NA,dry,pasture,NA,15,NA,SE,0.93,
68,1,88.35,25,NA,NA,NA,dry,pasture,NA,15,NA,SE,0.83,
68,1,86.81,20,NA,NA,NA,dry,pasture,NA,15,NA,SE,0.52,
68,1,87.74,15,NA,NA,NA,dry,pasture,NA,15,NA,SE,1.66,
68,1,88.17,10,NA,NA,NA,dry,pasture,NA,15,NA,SE,2.59,
68,1,84.04,5,NA,NA,NA,dry,pasture,NA,15,NA,SE,2.07,
68,1,84.66,0,NA,NA,NA,dry,pasture,NA,15,NA,SE,0.41,
68,1,84.26,-5,NA,NA,NA,dry,pasture,NA,15,NA,SE,2.17,
68,1,84.37,-10,NA,NA,NA,dry,pasture,NA,15,NA,SE,1.14,
68,1,84.48,-15,NA,NA,NA,dry,pasture,NA,15,NA,SE,1.03,
68,1,85.52,-20,NA,NA,NA,dry,pasture,NA,15,NA,SE,3.31,
68,2,96.61,50,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.69,
68,2,96.62,45,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.59,
68,2,98.68,40,NA,NA,NA,dry,pasture,NA,4,NA,SE,0,
68,2,97.32,35,NA,NA,NA,dry,pasture,NA,4,NA,SE,1.47,
68,2,97.33,30,NA,NA,NA,dry,pasture,NA,4,NA,SE,1.08,
68,2,97.33,25,NA,NA,NA,dry,pasture,NA,4,NA,SE,1.37,
68,2,97.93,20,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.69,
68,2,96.66,15,NA,NA,NA,dry,pasture,NA,4,NA,SE,1.76,
68,2,96.67,10,NA,NA,NA,dry,pasture,NA,4,NA,SE,1.76,
68,2,95.99,5,NA,NA,NA,dry,pasture,NA,4,NA,SE,2.65,
68,2,95.21,0,NA,NA,NA,dry,pasture,NA,4,NA,SE,2.06,
68,2,94.73,-5,NA,NA,NA,dry,pasture,NA,4,NA,SE,2.55,
68,2,92.87,-10,NA,NA,NA,dry,pasture,NA,4,NA,SE,1.67,
68,2,90.43,-15,NA,NA,NA,dry,pasture,NA,4,NA,SE,0.49,
68,2,91.81,-20,NA,NA,NA,dry,pasture,NA,4,NA,SE,1.86,
30,a,61.09,-25,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,5.33,site1
30,a,57.7,-15,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,3.66,site1
30,a,68.05,-10,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,4.77,site1
30,a,71.85,-5,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,5.77,site1
30,a,72.54,0,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,5.44,site1
30,a,72.56,5,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,5.66,site1
30,a,72.58,10,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,5.67,site1
30,a,70.08,20,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,5.77,site1
30,a,69.57,30,NA,NA,NA,summer,meadow,NW,0.5,NA,SE,6.55,site1
30,b,48.79,-20,NA,NA,NA,summer,field,NE,0.5,NA,SE,3.89,site2
30,b,46.95,-10,NA,NA,NA,summer,field,NE,0.5,NA,SE,4.89,site2
30,b,51.86,-5,NA,NA,NA,summer,field,NE,0.5,NA,SE,4.33,site2
30,b,56.66,0,NA,NA,NA,summer,field,NE,0.5,NA,SE,2.55,site2
30,b,60.68,5,NA,NA,NA,summer,field,NE,0.5,NA,SE,1.89,site2
30,b,59.93,10,NA,NA,NA,summer,field,NE,0.5,NA,SE,2.11,site2
30,b,57.4,15,NA,NA,NA,summer,field,NE,0.5,NA,SE,3.11,site2
30,b,58.11,25,NA,NA,NA,summer,field,NE,0.5,NA,SE,3.33,site2
30,b,59.38,35,NA,NA,NA,summer,field,NE,0.5,NA,SE,2.33,site2
43,a,81.12,0,NA,NA,NA,NA,ag.field,E,0,NA,SE,0,Brownfield.Woods
43,a,81.67,2,NA,NA,NA,NA,ag.field,E,0,NA,SE,0,Brownfield.Woods
43,a,81.24,5,NA,NA,NA,NA,ag.field,E,0,NA,SE,0,Brownfield.Woods
43,a,83.66,10,NA,NA,NA,NA,ag.field,E,0,NA,SE,0,Brownfield.Woods
43,a,81.8,15,NA,NA,NA,NA,ag.field,E,0,NA,SE,0,Brownfield.Woods
43,a,82.25,25,NA,NA,NA,NA,ag.field,E,0,NA,SE,0,Brownfield.Woods
43,a,83.46,40,NA,NA,NA,NA,ag.field,E,0,NA,SE,1.76,Brownfield.Woods
43,a,85.11,60,NA,NA,NA,NA,ag.field,E,0,NA,SE,1.54,Brownfield.Woods
43,a,85.44,80,NA,NA,NA,NA,ag.field,E,0,NA,SE,1.76,Brownfield.Woods
43,a,85.44,100,NA,NA,NA,NA,ag.field,E,0,NA,SE,1.97,Brownfield.Woods
43,a,83.25,175,NA,NA,NA,NA,ag.field,E,0,NA,SE,2.19,Brownfield.Woods
